name,beds_per_100000
北海道,1894.2
青森県,1513
岩手県,1491.8
宮城県,1171.1
秋田県,1592.4
山形県,1385.4
福島県,1433.3
茨城県,1154.4
栃木県,1163.1
群馬県,1297.8
埼玉県,890.7
千葉県,990.2
東京都,962.4
神奈川県,833.7
新潟県,1279.3
富山県,1632.9
石川県,1640.1
福井県,1542.4
山梨県,1375.2
長野県,1193.7
岐阜県,1101.2
静岡県,1109.9
愛知県,953.3
三重県,1185.4
滋賀県,1051.4
京都府,1387.6
大阪府,1238.6
兵庫県,1231.8
奈良県,1294.4
和歌山県,1538.8
鳥取県,1593.1
島根県,1611.6
岡山県,1597.2
広島県,1516.1
山口県,2054.2
徳島県,2184.9
香川県,1707
愛媛県,1810.2
高知県,2721.3
福岡県,1820
佐賀県,2103.1
長崎県,2211.3
熊本県,2248
大分県,2067.6
宮崎県,1992.2
鹿児島,2395.5
沖縄県,1383
