name,beds_per_100000,beds_per_1000
Hokkaido,1894.2,18.942
Aomori,1513.0,15.13
Iwate,1491.8,14.918
Miyagi,1171.1,11.710999999999999
Akita,1592.4,15.924000000000001
Yamagata,1385.4,13.854000000000001
Fukushima,1433.3,14.333
Ibaraki,1154.4,11.544
Tochigi,1163.1,11.630999999999998
Gunma,1297.8,12.978
Saitama,890.7,8.907
Chiba,990.2,9.902000000000001
Tokyo,962.4,9.624
Kanagawa,833.7,8.337
Niigata,1279.3,12.793
Toyama,1632.9,16.329
Ichikawa,1640.1,16.401
Fukui,1542.4,15.424000000000001
Yamanashi,1375.2,13.752
Nagano,1193.7,11.937000000000001
Gifu,1101.2,11.012
Shizuoka,1109.9,11.099000000000002
Aichi,953.3,9.533
Mie,1185.4,11.854000000000001
Shiga,1051.4,10.514000000000001
Kyoto,1387.6,13.876
Osaka,1238.6,12.386
Hyogo,1231.8,12.318
Nara,1294.4,12.944
Wakayama,1538.8,15.388
Tottori,1593.1,15.931
Shimane,1611.6,16.116
Okayama,1597.2,15.972000000000001
Hiroshima,1516.1,15.161
Yamaguchi,2054.2,20.541999999999998
Tokushima,2184.9,21.849
Kagawa,1707.0,17.07
Ehime,1810.2,18.102
Kouchi,2721.3,27.213
Fukuoka,1820.0,18.2
Saga,2103.1,21.031
Nagasaki,2211.3,22.113000000000003
Kumamoto,2248.0,22.48
Oita,2067.6,20.676
Miyazaki,1992.2,19.922
鹿児島,2395.5,23.955000000000002
Okinawa,1383.0,13.83
