name,date,total_cases
Hokkaido,2020-03-18,153
Okinawa,2020-03-18,3
Nagano,2020-03-18,3
Shizuoka,2020-03-18,3
Miyazaki,2020-03-18,3
Ehime,2020-03-18,2
Ibaraki,2020-03-18,2
Fukushima,2020-03-18,2
Fukui,2020-03-18,1
Akita,2020-03-18,1
Miyagi,2020-03-18,1
Oita,2020-03-18,1
Yamaguchi,2020-03-18,1
Hiroshima,2020-03-18,1
Kagawa,2020-03-18,1
Saga,2020-03-18,1
Tochigi,2020-03-18,3
Gifu,2020-03-18,3
Yamanashi,2020-03-18,2
Nara,2020-03-18,4
Shiga,2020-03-18,4
Tokyo,2020-03-18,105
Osaka,2020-03-18,100
Hyogo,2020-03-18,69
Kanagawa,2020-03-18,52
Saitama,2020-03-18,32
Chiba,2020-03-18,31
Kyoto,2020-03-18,17
Aichi,2020-03-18,123
Wakayama,2020-03-18,13
Kouchi,2020-03-18,11
Gunma,2020-03-18,10
Kumamoto,2020-03-18,5
Ichikawa,2020-03-18,5
Mie,2020-03-18,5
Fukuoka,2020-03-18,4
Niigata,2020-03-18,17
Nagano,2020-03-19,3
Gifu,2020-03-19,3
Tochigi,2020-03-19,3
Shizuoka,2020-03-19,3
Oita,2020-03-19,3
Miyazaki,2020-03-19,3
Ibaraki,2020-03-19,3
Yamanashi,2020-03-19,2
Yamaguchi,2020-03-19,1
Fukushima,2020-03-19,2
Akita,2020-03-19,1
Miyagi,2020-03-19,1
Hiroshima,2020-03-19,1
Fukui,2020-03-19,1
Kagawa,2020-03-19,1
Saga,2020-03-19,1
Ehime,2020-03-19,2
Okinawa,2020-03-19,3
Kyoto,2020-03-19,17
Nara,2020-03-19,4
Shiga,2020-03-19,4
Aichi,2020-03-19,127
Tokyo,2020-03-19,112
Osaka,2020-03-19,102
Hyogo,2020-03-19,69
Kanagawa,2020-03-19,57
Saitama,2020-03-19,36
Chiba,2020-03-19,34
Hokkaido,2020-03-19,156
Niigata,2020-03-19,17
Wakayama,2020-03-19,14
Kouchi,2020-03-19,11
Gunma,2020-03-19,10
Kumamoto,2020-03-19,6
Mie,2020-03-19,6
Ichikawa,2020-03-19,5
Fukuoka,2020-03-19,5
Okinawa,2020-03-20,3
Nagano,2020-03-20,3
Gifu,2020-03-20,3
Tochigi,2020-03-20,3
Shizuoka,2020-03-20,3
Miyazaki,2020-03-20,3
Ibaraki,2020-03-20,3
Hiroshima,2020-03-20,2
Miyagi,2020-03-20,1
Fukushima,2020-03-20,2
Akita,2020-03-20,1
Shiga,2020-03-20,4
Yamaguchi,2020-03-20,1
Fukui,2020-03-20,1
Kagawa,2020-03-20,1
Saga,2020-03-20,1
Ehime,2020-03-20,2
Nara,2020-03-20,4
Yamanashi,2020-03-20,2
Mie,2020-03-20,6
Aichi,2020-03-20,130
Tokyo,2020-03-20,123
Osaka,2020-03-20,106
Hyogo,2020-03-20,76
Kanagawa,2020-03-20,58
Chiba,2020-03-20,39
Saitama,2020-03-20,38
Fukuoka,2020-03-20,5
Hokkaido,2020-03-20,157
Niigata,2020-03-20,17
Wakayama,2020-03-20,15
Gunma,2020-03-20,11
Kouchi,2020-03-20,11
Oita,2020-03-20,6
Ichikawa,2020-03-20,6
Kumamoto,2020-03-20,6
Kyoto,2020-03-20,18
Okinawa,2020-03-21,3
Nagano,2020-03-21,3
Gifu,2020-03-21,3
Shizuoka,2020-03-21,3
Miyazaki,2020-03-21,3
Ibaraki,2020-03-21,3
Yamanashi,2020-03-21,2
Ehime,2020-03-21,2
Miyagi,2020-03-21,1
Fukushima,2020-03-21,2
Akita,2020-03-21,1
Yamaguchi,2020-03-21,1
Fukui,2020-03-21,1
Kagawa,2020-03-21,1
Saga,2020-03-21,1
Shiga,2020-03-21,4
Hiroshima,2020-03-21,2
Nara,2020-03-21,4
Tochigi,2020-03-21,4
Fukuoka,2020-03-21,5
Hokkaido,2020-03-21,158
Aichi,2020-03-21,132
Tokyo,2020-03-21,130
Osaka,2020-03-21,108
Hyogo,2020-03-21,81
Saitama,2020-03-21,41
Chiba,2020-03-21,40
Niigata,2020-03-21,22
Kanagawa,2020-03-21,61
Wakayama,2020-03-21,15
Oita,2020-03-21,11
Kouchi,2020-03-21,11
